buying,maint,persons,safety,class
0,3,2,0,unacc
0,3,2,2,unacc
0,3,2,1,unacc
0,3,2,0,unacc
0,3,2,2,unacc
0,3,2,1,unacc
0,3,2,0,unacc
0,3,2,2,unacc
0,3,4,1,unacc
0,3,4,0,unacc
0,3,4,2,unacc
0,3,4,1,unacc
0,3,4,0,unacc
0,3,4,2,unacc
0,3,4,1,unacc
0,3,4,0,unacc
0,3,4,2,unacc
0,3,10,1,unacc
0,3,10,0,unacc
0,3,10,2,unacc
0,3,10,1,unacc
0,3,10,0,unacc
0,3,10,2,unacc
0,3,10,1,unacc
0,3,10,0,unacc
0,3,10,2,unacc
0,3,2,1,unacc
0,3,2,0,unacc
0,3,2,2,unacc
0,3,2,1,unacc
0,3,2,0,unacc
0,3,2,2,unacc
0,3,2,1,unacc
0,3,2,0,unacc
0,3,2,2,unacc
0,3,4,1,unacc
0,3,4,0,unacc
0,3,4,2,unacc
0,3,4,1,unacc
0,3,4,0,unacc
0,3,4,2,unacc
0,3,4,1,unacc
0,3,4,0,unacc
0,3,4,2,unacc
0,3,10,1,unacc
0,3,10,0,unacc
0,3,10,2,unacc
0,3,10,1,unacc
0,3,10,0,unacc
0,3,10,2,unacc
0,3,10,1,unacc
0,3,10,0,unacc
0,3,10,2,unacc
0,3,2,1,unacc
0,3,2,0,unacc
0,3,2,2,unacc
0,3,2,1,unacc
0,3,2,0,unacc
0,3,2,2,unacc
0,3,2,1,unacc
0,3,2,0,unacc
0,3,2,2,unacc
0,3,4,1,unacc
0,3,4,0,unacc
0,3,4,2,unacc
0,3,4,1,unacc
0,3,4,0,unacc
0,3,4,2,unacc
0,3,4,1,unacc
0,3,4,0,unacc
0,3,4,2,unacc
0,3,10,1,unacc
0,3,10,0,unacc
0,3,10,2,unacc
0,3,10,1,unacc
0,3,10,0,unacc
0,3,10,2,unacc
0,3,10,1,unacc
0,3,10,0,unacc
0,3,10,2,unacc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,4,1,unacc
0,1,4,0,unacc
0,1,4,2,acc
0,1,4,1,unacc
0,1,4,0,unacc
0,1,4,2,acc
0,1,4,1,unacc
0,1,4,0,acc
0,1,4,2,acc
0,1,10,1,unacc
0,1,10,0,unacc
0,1,10,2,unacc
0,1,10,1,unacc
0,1,10,0,unacc
0,1,10,2,acc
0,1,10,1,unacc
0,1,10,0,acc
0,1,10,2,acc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,4,1,unacc
0,1,4,0,unacc
0,1,4,2,acc
0,1,4,1,unacc
0,1,4,0,unacc
0,1,4,2,acc
0,1,4,1,unacc
0,1,4,0,acc
0,1,4,2,acc
0,1,10,1,unacc
0,1,10,0,unacc
0,1,10,2,acc
0,1,10,1,unacc
0,1,10,0,acc
0,1,10,2,acc
0,1,10,1,unacc
0,1,10,0,acc
0,1,10,2,acc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,4,1,unacc
0,1,4,0,unacc
0,1,4,2,acc
0,1,4,1,unacc
0,1,4,0,acc
0,1,4,2,acc
0,1,4,1,unacc
0,1,4,0,acc
0,1,4,2,acc
0,1,10,1,unacc
0,1,10,0,unacc
0,1,10,2,acc
0,1,10,1,unacc
0,1,10,0,acc
0,1,10,2,acc
0,1,10,1,unacc
0,1,10,0,acc
0,1,10,2,acc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,2,1,unacc
0,1,2,0,unacc
0,1,2,2,unacc
0,1,4,1,unacc
0,1,4,0,unacc
0,1,4,2,acc
0,1,4,1,unacc
0,1,4,0,acc
0,1,4,2,acc
0,1,4,1,unacc
0,1,4,0,acc
0,1,4,2,acc
0,1,10,1,unacc
0,1,10,0,unacc
0,1,10,2,acc
0,1,10,1,unacc
0,1,10,0,acc
0,1,10,2,acc
0,1,10,1,unacc
0,1,10,0,acc
0,1,10,2,acc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,4,1,unacc
0,2,4,0,unacc
0,2,4,2,acc
0,2,4,1,unacc
0,2,4,0,unacc
0,2,4,2,acc
0,2,4,1,unacc
0,2,4,0,acc
0,2,4,2,acc
0,2,10,1,unacc
0,2,10,0,unacc
0,2,10,2,unacc
0,2,10,1,unacc
0,2,10,0,unacc
0,2,10,2,acc
0,2,10,1,unacc
0,2,10,0,acc
0,2,10,2,acc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,4,1,unacc
0,2,4,0,unacc
0,2,4,2,acc
0,2,4,1,unacc
0,2,4,0,unacc
0,2,4,2,acc
0,2,4,1,unacc
0,2,4,0,acc
0,2,4,2,acc
0,2,10,1,unacc
0,2,10,0,unacc
0,2,10,2,acc
0,2,10,1,unacc
0,2,10,0,acc
0,2,10,2,acc
0,2,10,1,unacc
0,2,10,0,acc
0,2,10,2,acc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,4,1,unacc
0,2,4,0,unacc
0,2,4,2,acc
0,2,4,1,unacc
0,2,4,0,acc
0,2,4,2,acc
0,2,4,1,unacc
0,2,4,0,acc
0,2,4,2,acc
0,2,10,1,unacc
0,2,10,0,unacc
0,2,10,2,acc
0,2,10,1,unacc
0,2,10,0,acc
0,2,10,2,acc
0,2,10,1,unacc
0,2,10,0,acc
0,2,10,2,acc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,2,1,unacc
0,2,2,0,unacc
0,2,2,2,unacc
0,2,4,1,unacc
0,2,4,0,unacc
0,2,4,2,acc
0,2,4,1,unacc
0,2,4,0,acc
0,2,4,2,acc
0,2,4,1,unacc
0,2,4,0,acc
0,2,4,2,acc
0,2,10,1,unacc
0,2,10,0,unacc
0,2,10,2,acc
0,2,10,1,unacc
0,2,10,0,acc
0,2,10,2,acc
0,2,10,1,unacc
0,2,10,0,acc
0,2,10,2,acc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,2,1,unacc
3,0,2,0,unacc
3,0,2,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,4,1,unacc
3,0,4,0,unacc
3,0,4,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,0,10,1,unacc
3,0,10,0,unacc
3,0,10,2,unacc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,4,1,unacc
3,3,4,0,unacc
3,3,4,2,acc
3,3,4,1,unacc
3,3,4,0,unacc
3,3,4,2,acc
3,3,4,1,unacc
3,3,4,0,acc
3,3,4,2,acc
3,3,10,1,unacc
3,3,10,0,unacc
3,3,10,2,unacc
3,3,10,1,unacc
3,3,10,0,unacc
3,3,10,2,acc
3,3,10,1,unacc
3,3,10,0,acc
3,3,10,2,acc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,4,1,unacc
3,3,4,0,unacc
3,3,4,2,acc
3,3,4,1,unacc
3,3,4,0,unacc
3,3,4,2,acc
3,3,4,1,unacc
3,3,4,0,acc
3,3,4,2,acc
3,3,10,1,unacc
3,3,10,0,unacc
3,3,10,2,acc
3,3,10,1,unacc
3,3,10,0,acc
3,3,10,2,acc
3,3,10,1,unacc
3,3,10,0,acc
3,3,10,2,acc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,4,1,unacc
3,3,4,0,unacc
3,3,4,2,acc
3,3,4,1,unacc
3,3,4,0,acc
3,3,4,2,acc
3,3,4,1,unacc
3,3,4,0,acc
3,3,4,2,acc
3,3,10,1,unacc
3,3,10,0,unacc
3,3,10,2,acc
3,3,10,1,unacc
3,3,10,0,acc
3,3,10,2,acc
3,3,10,1,unacc
3,3,10,0,acc
3,3,10,2,acc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,2,1,unacc
3,3,2,0,unacc
3,3,2,2,unacc
3,3,4,1,unacc
3,3,4,0,unacc
3,3,4,2,acc
3,3,4,1,unacc
3,3,4,0,acc
3,3,4,2,acc
3,3,4,1,unacc
3,3,4,0,acc
3,3,4,2,acc
3,3,10,1,unacc
3,3,10,0,unacc
3,3,10,2,acc
3,3,10,1,unacc
3,3,10,0,acc
3,3,10,2,acc
3,3,10,1,unacc
3,3,10,0,acc
3,3,10,2,acc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,4,1,unacc
3,1,4,0,unacc
3,1,4,2,acc
3,1,4,1,unacc
3,1,4,0,unacc
3,1,4,2,acc
3,1,4,1,unacc
3,1,4,0,acc
3,1,4,2,acc
3,1,10,1,unacc
3,1,10,0,unacc
3,1,10,2,unacc
3,1,10,1,unacc
3,1,10,0,unacc
3,1,10,2,acc
3,1,10,1,unacc
3,1,10,0,acc
3,1,10,2,acc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,4,1,unacc
3,1,4,0,unacc
3,1,4,2,acc
3,1,4,1,unacc
3,1,4,0,unacc
3,1,4,2,acc
3,1,4,1,unacc
3,1,4,0,acc
3,1,4,2,acc
3,1,10,1,unacc
3,1,10,0,unacc
3,1,10,2,acc
3,1,10,1,unacc
3,1,10,0,acc
3,1,10,2,acc
3,1,10,1,unacc
3,1,10,0,acc
3,1,10,2,acc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,4,1,unacc
3,1,4,0,unacc
3,1,4,2,acc
3,1,4,1,unacc
3,1,4,0,acc
3,1,4,2,acc
3,1,4,1,unacc
3,1,4,0,acc
3,1,4,2,acc
3,1,10,1,unacc
3,1,10,0,unacc
3,1,10,2,acc
3,1,10,1,unacc
3,1,10,0,acc
3,1,10,2,acc
3,1,10,1,unacc
3,1,10,0,acc
3,1,10,2,acc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,2,1,unacc
3,1,2,0,unacc
3,1,2,2,unacc
3,1,4,1,unacc
3,1,4,0,unacc
3,1,4,2,acc
3,1,4,1,unacc
3,1,4,0,acc
3,1,4,2,acc
3,1,4,1,unacc
3,1,4,0,acc
3,1,4,2,acc
3,1,10,1,unacc
3,1,10,0,unacc
3,1,10,2,acc
3,1,10,1,unacc
3,1,10,0,acc
3,1,10,2,acc
3,1,10,1,unacc
3,1,10,0,acc
3,1,10,2,acc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,4,1,unacc
3,2,4,0,unacc
3,2,4,2,acc
3,2,4,1,unacc
3,2,4,0,unacc
3,2,4,2,acc
3,2,4,1,unacc
3,2,4,0,acc
3,2,4,2,acc
3,2,10,1,unacc
3,2,10,0,unacc
3,2,10,2,unacc
3,2,10,1,unacc
3,2,10,0,unacc
3,2,10,2,acc
3,2,10,1,unacc
3,2,10,0,acc
3,2,10,2,acc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,4,1,unacc
3,2,4,0,unacc
3,2,4,2,acc
3,2,4,1,unacc
3,2,4,0,unacc
3,2,4,2,acc
3,2,4,1,unacc
3,2,4,0,acc
3,2,4,2,acc
3,2,10,1,unacc
3,2,10,0,unacc
3,2,10,2,acc
3,2,10,1,unacc
3,2,10,0,acc
3,2,10,2,acc
3,2,10,1,unacc
3,2,10,0,acc
3,2,10,2,acc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,4,1,unacc
3,2,4,0,unacc
3,2,4,2,acc
3,2,4,1,unacc
3,2,4,0,acc
3,2,4,2,acc
3,2,4,1,unacc
3,2,4,0,acc
3,2,4,2,acc
3,2,10,1,unacc
3,2,10,0,unacc
3,2,10,2,acc
3,2,10,1,unacc
3,2,10,0,acc
3,2,10,2,acc
3,2,10,1,unacc
3,2,10,0,acc
3,2,10,2,acc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,2,1,unacc
3,2,2,0,unacc
3,2,2,2,unacc
3,2,4,1,unacc
3,2,4,0,unacc
3,2,4,2,acc
3,2,4,1,unacc
3,2,4,0,acc
3,2,4,2,acc
3,2,4,1,unacc
3,2,4,0,acc
3,2,4,2,acc
3,2,10,1,unacc
3,2,10,0,unacc
3,2,10,2,acc
3,2,10,1,unacc
3,2,10,0,acc
3,2,10,2,acc
3,2,10,1,unacc
3,2,10,0,acc
3,2,10,2,acc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,4,1,unacc
1,0,4,0,unacc
1,0,4,2,acc
1,0,4,1,unacc
1,0,4,0,unacc
1,0,4,2,acc
1,0,4,1,unacc
1,0,4,0,acc
1,0,4,2,acc
1,0,10,1,unacc
1,0,10,0,unacc
1,0,10,2,unacc
1,0,10,1,unacc
1,0,10,0,unacc
1,0,10,2,acc
1,0,10,1,unacc
1,0,10,0,acc
1,0,10,2,acc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,4,1,unacc
1,0,4,0,unacc
1,0,4,2,acc
1,0,4,1,unacc
1,0,4,0,unacc
1,0,4,2,acc
1,0,4,1,unacc
1,0,4,0,acc
1,0,4,2,acc
1,0,10,1,unacc
1,0,10,0,unacc
1,0,10,2,acc
1,0,10,1,unacc
1,0,10,0,acc
1,0,10,2,acc
1,0,10,1,unacc
1,0,10,0,acc
1,0,10,2,acc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,4,1,unacc
1,0,4,0,unacc
1,0,4,2,acc
1,0,4,1,unacc
1,0,4,0,acc
1,0,4,2,acc
1,0,4,1,unacc
1,0,4,0,acc
1,0,4,2,acc
1,0,10,1,unacc
1,0,10,0,unacc
1,0,10,2,acc
1,0,10,1,unacc
1,0,10,0,acc
1,0,10,2,acc
1,0,10,1,unacc
1,0,10,0,acc
1,0,10,2,acc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,2,1,unacc
1,0,2,0,unacc
1,0,2,2,unacc
1,0,4,1,unacc
1,0,4,0,unacc
1,0,4,2,acc
1,0,4,1,unacc
1,0,4,0,acc
1,0,4,2,acc
1,0,4,1,unacc
1,0,4,0,acc
1,0,4,2,acc
1,0,10,1,unacc
1,0,10,0,unacc
1,0,10,2,acc
1,0,10,1,unacc
1,0,10,0,acc
1,0,10,2,acc
1,0,10,1,unacc
1,0,10,0,acc
1,0,10,2,acc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,4,1,unacc
1,3,4,0,unacc
1,3,4,2,acc
1,3,4,1,unacc
1,3,4,0,unacc
1,3,4,2,acc
1,3,4,1,unacc
1,3,4,0,acc
1,3,4,2,acc
1,3,10,1,unacc
1,3,10,0,unacc
1,3,10,2,unacc
1,3,10,1,unacc
1,3,10,0,unacc
1,3,10,2,acc
1,3,10,1,unacc
1,3,10,0,acc
1,3,10,2,acc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,4,1,unacc
1,3,4,0,unacc
1,3,4,2,acc
1,3,4,1,unacc
1,3,4,0,unacc
1,3,4,2,acc
1,3,4,1,unacc
1,3,4,0,acc
1,3,4,2,acc
1,3,10,1,unacc
1,3,10,0,unacc
1,3,10,2,acc
1,3,10,1,unacc
1,3,10,0,acc
1,3,10,2,acc
1,3,10,1,unacc
1,3,10,0,acc
1,3,10,2,acc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,4,1,unacc
1,3,4,0,unacc
1,3,4,2,acc
1,3,4,1,unacc
1,3,4,0,acc
1,3,4,2,acc
1,3,4,1,unacc
1,3,4,0,acc
1,3,4,2,acc
1,3,10,1,unacc
1,3,10,0,unacc
1,3,10,2,acc
1,3,10,1,unacc
1,3,10,0,acc
1,3,10,2,acc
1,3,10,1,unacc
1,3,10,0,acc
1,3,10,2,acc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,2,1,unacc
1,3,2,0,unacc
1,3,2,2,unacc
1,3,4,1,unacc
1,3,4,0,unacc
1,3,4,2,acc
1,3,4,1,unacc
1,3,4,0,acc
1,3,4,2,acc
1,3,4,1,unacc
1,3,4,0,acc
1,3,4,2,acc
1,3,10,1,unacc
1,3,10,0,unacc
1,3,10,2,acc
1,3,10,1,unacc
1,3,10,0,acc
1,3,10,2,acc
1,3,10,1,unacc
1,3,10,0,acc
1,3,10,2,acc
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,acc
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,acc
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,vgood
1,1,10,1,unacc
1,1,10,0,unacc
1,1,10,2,unacc
1,1,10,1,unacc
1,1,10,0,acc
1,1,10,2,acc
1,1,10,1,unacc
1,1,10,0,acc
1,1,10,2,vgood
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,acc
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,acc
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,vgood
1,1,10,1,unacc
1,1,10,0,acc
1,1,10,2,acc
1,1,10,1,unacc
1,1,10,0,acc
1,1,10,2,vgood
1,1,10,1,unacc
1,1,10,0,acc
1,1,10,2,vgood
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,acc
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,vgood
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,vgood
1,1,10,1,unacc
1,1,10,0,acc
1,1,10,2,acc
1,1,10,1,unacc
1,1,10,0,acc
1,1,10,2,vgood
1,1,10,1,unacc
1,1,10,0,acc
1,1,10,2,vgood
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,2,1,unacc
1,1,2,0,unacc
1,1,2,2,unacc
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,acc
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,vgood
1,1,4,1,unacc
1,1,4,0,acc
1,1,4,2,vgood
1,1,10,1,unacc
1,1,10,0,acc
1,1,10,2,acc
1,1,10,1,unacc
1,1,10,0,acc
1,1,10,2,vgood
1,1,10,1,unacc
1,1,10,0,acc
1,1,10,2,vgood
