buying,persons,safety,class
0,4,2,acc
0,10,1,unacc
0,10,0,unacc
0,10,2,unacc
0,10,1,unacc
0,10,0,unacc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
0,4,2,acc
0,10,1,unacc
0,10,0,unacc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
0,4,2,acc
0,10,1,unacc
0,10,0,unacc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,2,1,unacc
0,2,0,unacc
0,2,2,unacc
0,4,1,unacc
0,4,0,unacc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
0,4,2,acc
0,4,1,unacc
0,4,0,acc
0,4,2,acc
0,10,1,unacc
0,10,0,unacc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
0,10,1,unacc
0,10,0,acc
0,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,unacc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,2,1,unacc
3,2,0,unacc
3,2,2,unacc
3,4,1,unacc
3,4,0,unacc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,4,1,unacc
3,4,0,acc
3,4,2,acc
3,10,1,unacc
3,10,0,unacc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
3,10,1,unacc
3,10,0,acc
3,10,2,acc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,10,1,unacc
1,10,0,unacc
1,10,2,unacc
1,10,1,unacc
1,10,0,unacc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,10,1,unacc
1,10,0,unacc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,10,1,unacc
1,10,0,unacc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,10,1,unacc
1,10,0,unacc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,10,1,unacc
1,10,0,unacc
1,10,2,unacc
1,10,1,unacc
1,10,0,unacc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,10,1,unacc
1,10,0,unacc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,10,1,unacc
1,10,0,unacc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,unacc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,10,1,unacc
1,10,0,unacc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,vgood
1,10,1,unacc
1,10,0,unacc
1,10,2,unacc
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,vgood
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,vgood
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,vgood
1,10,1,unacc
1,10,0,acc
1,10,2,vgood
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,vgood
1,4,1,unacc
1,4,0,acc
1,4,2,vgood
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,vgood
1,10,1,unacc
1,10,0,acc
1,10,2,vgood
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,acc
1,4,2,acc
1,4,1,unacc
1,4,0,acc
1,4,2,vgood
1,4,1,unacc
1,4,0,acc
1,4,2,vgood
1,10,1,unacc
1,10,0,acc
1,10,2,acc
1,10,1,unacc
1,10,0,acc
1,10,2,vgood
1,10,1,unacc
1,10,0,acc
1,10,2,vgood
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,acc
1,4,2,good
1,4,1,unacc
1,4,0,acc
1,4,2,good
1,4,1,unacc
1,4,0,good
1,4,2,vgood
1,10,1,unacc
1,10,0,unacc
1,10,2,unacc
1,10,1,unacc
1,10,0,acc
1,10,2,good
1,10,1,unacc
1,10,0,good
1,10,2,vgood
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,acc
1,4,2,good
1,4,1,unacc
1,4,0,acc
1,4,2,good
1,4,1,unacc
1,4,0,good
1,4,2,vgood
1,10,1,unacc
1,10,0,acc
1,10,2,good
1,10,1,unacc
1,10,0,good
1,10,2,vgood
1,10,1,unacc
1,10,0,good
1,10,2,vgood
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,acc
1,4,2,good
1,4,1,unacc
1,4,0,good
1,4,2,vgood
1,4,1,unacc
1,4,0,good
1,4,2,vgood
1,10,1,unacc
1,10,0,acc
1,10,2,good
1,10,1,unacc
1,10,0,good
1,10,2,vgood
1,10,1,unacc
1,10,0,good
1,10,2,vgood
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,2,1,unacc
1,2,0,unacc
1,2,2,unacc
1,4,1,unacc
1,4,0,acc
1,4,2,good
1,4,1,unacc
1,4,0,good
1,4,2,vgood
1,4,1,unacc
1,4,0,good
1,4,2,vgood
1,10,1,unacc
1,10,0,acc
1,10,2,good
1,10,1,unacc
1,10,0,good
1,10,2,vgood
1,10,1,unacc
1,10,0,good
1,10,2,vgood
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,4,1,unacc
2,4,0,unacc
2,4,2,acc
2,4,1,unacc
2,4,0,unacc
2,4,2,acc
2,4,1,unacc
2,4,0,acc
2,4,2,acc
2,10,1,unacc
2,10,0,unacc
2,10,2,unacc
2,10,1,unacc
2,10,0,unacc
2,10,2,acc
2,10,1,unacc
2,10,0,acc
2,10,2,acc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,4,1,unacc
2,4,0,unacc
2,4,2,acc
2,4,1,unacc
2,4,0,unacc
2,4,2,acc
2,4,1,unacc
2,4,0,acc
2,4,2,acc
2,10,1,unacc
2,10,0,unacc
2,10,2,acc
2,10,1,unacc
2,10,0,acc
2,10,2,acc
2,10,1,unacc
2,10,0,acc
2,10,2,acc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,4,1,unacc
2,4,0,unacc
2,4,2,acc
2,4,1,unacc
2,4,0,acc
2,4,2,acc
2,4,1,unacc
2,4,0,acc
2,4,2,acc
2,10,1,unacc
2,10,0,unacc
2,10,2,acc
2,10,1,unacc
2,10,0,acc
2,10,2,acc
2,10,1,unacc
2,10,0,acc
2,10,2,acc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,4,1,unacc
2,4,0,unacc
2,4,2,acc
2,4,1,unacc
2,4,0,acc
2,4,2,acc
2,4,1,unacc
2,4,0,acc
2,4,2,acc
2,10,1,unacc
2,10,0,unacc
2,10,2,acc
2,10,1,unacc
2,10,0,acc
2,10,2,acc
2,10,1,unacc
2,10,0,acc
2,10,2,acc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,4,1,unacc
2,4,0,acc
2,4,2,acc
2,4,1,unacc
2,4,0,acc
2,4,2,acc
2,4,1,unacc
2,4,0,acc
2,4,2,vgood
2,10,1,unacc
2,10,0,unacc
2,10,2,unacc
2,10,1,unacc
2,10,0,acc
2,10,2,acc
2,10,1,unacc
2,10,0,acc
2,10,2,vgood
2,2,1,unacc
2,2,0,unacc
2,2,2,unacc
2,2,1,unacc
2,2,0,unacc
